destination,lat,lon,region,airport_code,airport_dist_km,intl_flight_routes,avg_temp_c,annual_precip_mm,homicide_rate_per100k,travel_advisory_level,avg_hotel_rate_usd,attraction_score,hurricane_risk,seismic_risk,flood_risk,beach_quality,cultural_score,nature_score,avg_daily_tourist_spend_usd
Cancún,21.1619,-86.8515,Quintana Roo,CUN,16,85,27.4,1340,15.2,2,185,8,5,1,3,9,5,7,220
Playa del Carmen,20.6296,-87.0739,Quintana Roo,CUN,56,85,27.2,1200,15.2,2,155,8,5,1,3,8,6,8,175
Tulum,20.2114,-87.4654,Quintana Roo,TQO,100,12,27.0,1190,15.2,2,205,7,5,1,4,9,7,9,190
Puerto Vallarta,20.6534,-105.2253,Jalisco,PVR,8,42,26.1,1420,17.4,3,145,7,3,3,2,8,7,8,165
Los Cabos,22.8905,-109.9167,Baja California Sur,SJD,13,52,24.3,195,30.1,2,255,6,3,2,2,8,4,6,240
Mexico City,19.4326,-99.1332,CDMX,MEX,5,110,16.0,685,7.8,2,105,10,1,5,1,2,10,5,145
Oaxaca,17.0732,-96.7266,Oaxaca,OAX,9,8,20.4,595,8.3,2,95,9,2,4,2,5,9,7,120
